fecha,reservas
11/01/2017,39665
10/01/2017,39702
09/01/2017,39661
06/01/2017,39802
05/01/2017,39856
04/01/2017,39580
03/01/2017,39486
02/01/2017,38760
30/12/2016,38772
29/12/2016,39362
28/12/2016,39204
27/12/2016,38956
26/12/2016,38509
23/12/2016,38511
22/12/2016,38173
21/12/2016,38189
20/12/2016,37930
19/12/2016,37203
16/12/2016,37086
15/12/2016,36878
14/12/2016,37007
13/12/2016,36869
12/12/2016,36776
07/12/2016,37811
06/12/2016,37592
05/12/2016,37537
02/12/2016,37536
01/12/2016,37275
30/11/2016,37378
29/11/2016,37561
25/11/2016,37682
24/11/2016,37575
23/11/2016,37554
22/11/2016,37610
21/11/2016,37461
18/11/2016,37283
17/11/2016,37426
16/11/2016,37875
15/11/2016,37901
14/11/2016,37938
11/11/2016,37958
10/11/2016,38016
09/11/2016,38058
08/11/2016,38070
07/11/2016,37691
04/11/2016,37940
03/11/2016,37616
02/11/2016,37622
01/11/2016,37533
31/10/2016,37210
28/10/2016,40020
27/10/2016,39841
26/10/2016,40885
25/10/2016,40840
24/10/2016,40572
21/10/2016,40264
20/10/2016,40632
19/10/2016,39651
18/10/2016,39715
17/10/2016,39331
14/10/2016,35545
13/10/2016,35482
12/10/2016,35553
11/10/2016,32457
07/10/2016,32533
06/10/2016,32469
05/10/2016,32510
04/10/2016,32469
03/10/2016,32296
30/09/2016,29902
29/09/2016,30009
28/09/2016,30389
27/09/2016,30596
26/09/2016,30708
23/09/2016,30748
22/09/2016,30736
21/09/2016,30710
20/09/2016,30697
19/09/2016,30743
16/09/2016,30813
15/09/2016,30873
14/09/2016,31028
13/09/2016,31084
12/09/2016,31250
09/09/2016,31274
08/09/2016,31265
07/09/2016,31330
06/09/2016,31324
05/09/2016,31126
02/09/2016,31070
01/09/2016,31102
31/08/2016,31150
30/08/2016,31432
29/08/2016,31557
26/08/2016,31809
25/08/2016,31924
24/08/2016,31847
23/08/2016,31931
22/08/2016,31965
19/08/2016,31963
18/08/2016,32338
17/08/2016,32087
16/08/2016,32239
12/08/2016,32251
11/08/2016,32425
10/08/2016,32566
09/08/2016,32535
08/08/2016,32488
05/08/2016,32453
04/08/2016,32479
03/08/2016,32497
02/08/2016,32618
01/08/2016,32628
29/07/2016,32511
28/07/2016,34244
27/07/2016,34274
26/07/2016,34290
25/07/2016,33691
22/07/2016,33784
21/07/2016,33849
20/07/2016,33900
19/07/2016,34039
18/07/2016,33845
15/07/2016,33927
14/07/2016,33977
13/07/2016,33986
12/07/2016,33886
11/07/2016,33647
07/07/2016,33673
06/07/2016,33425
05/07/2016,30737
04/07/2016,30768
01/07/2016,30749
30/06/2016,30507
29/06/2016,31112
28/06/2016,31707
27/06/2016,31708
24/06/2016,31858
23/06/2016,32024
22/06/2016,32045
21/06/2016,32095
16/06/2016,32137
15/06/2016,32190
14/06/2016,31219
13/06/2016,31263
10/06/2016,31354
09/06/2016,30981
08/06/2016,30987
07/06/2016,30849
06/06/2016,30936
03/06/2016,31033
02/06/2016,30757
01/06/2016,30742
31/05/2016,30171
30/05/2016,30348
27/05/2016,30391
26/05/2016,30829
24/05/2016,31643
23/05/2016,32268
20/05/2016,32033
19/05/2016,32088
18/05/2016,31645
17/05/2016,31632
16/05/2016,31356
13/05/2016,31348
12/05/2016,31079
11/05/2016,31176
10/05/2016,31077
09/05/2016,30986
06/05/2016,31311
05/05/2016,31392
04/05/2016,31518
03/05/2016,34220
02/05/2016,34314
29/04/2016,34380
28/04/2016,34655
27/04/2016,34741
26/04/2016,34906
25/04/2016,35009
22/04/2016,35043
21/04/2016,29186
20/04/2016,29254
19/04/2016,29295
18/04/2016,29224
15/04/2016,29239
14/04/2016,29353
13/04/2016,29442
12/04/2016,29528
11/04/2016,29524
08/04/2016,29512
07/04/2016,29557
06/04/2016,29462
05/04/2016,29544
04/04/2016,29421
01/04/2016,29407
31/03/2016,29572
30/03/2016,29852
29/03/2016,29881
28/03/2016,29842
23/03/2016,29886
22/03/2016,29117
21/03/2016,29149
18/03/2016,29195
17/03/2016,29238
16/03/2016,29080
15/03/2016,27849
14/03/2016,28029
11/03/2016,28145
10/03/2016,28130
09/03/2016,28113
08/03/2016,28164
07/03/2016,28167
04/03/2016,28215
03/03/2016,28121
02/03/2016,28124
01/03/2016,28195
29/02/2016,28399
26/02/2016,28551
25/02/2016,28767
24/02/2016,28860
23/02/2016,28890
22/02/2016,29068
19/02/2016,29178
18/02/2016,29273
17/02/2016,29317
16/02/2016,29437
15/02/2016,29676
12/02/2016,29656
11/02/2016,29833
10/02/2016,29732
05/02/2016,29674
04/02/2016,29835
03/02/2016,29892
02/02/2016,29928
01/02/2016,29985
29/01/2016,30074
28/01/2016,25243
27/01/2016,25322
26/01/2016,25414
25/01/2016,25389
22/01/2016,25375
21/01/2016,25369
20/01/2016,25546
19/01/2016,25587
18/01/2016,25665
15/01/2016,25645
14/01/2016,25543
13/01/2016,25591
12/01/2016,25610
11/01/2016,25710
08/01/2016,25559
07/01/2016,25671
06/01/2016,25668
05/01/2016,25512
04/01/2016,25515
31/12/2015,25563
30/12/2015,25385
29/12/2015,25267
28/12/2015,25077
24/12/2015,24858
23/12/2015,24720
22/12/2015,24441
21/12/2015,24417
18/12/2015,24396
17/12/2015,24141
16/12/2015,24164
15/12/2015,24290
14/12/2015,24473
11/12/2015,24661
10/12/2015,24862
09/12/2015,25092
04/12/2015,25030
03/12/2015,25046
02/12/2015,25184
01/12/2015,25410
30/11/2015,25615
26/11/2015,25761
25/11/2015,25768
24/11/2015,25782
23/11/2015,25812
20/11/2015,25841
19/11/2015,25889
18/11/2015,25933
17/11/2015,25924
16/11/2015,26111
13/11/2015,26203
12/11/2015,26246
11/11/2015,26278
